| Method     | Endpoint                          | Mô tả                   | Yêu cầu                | Body / Query                                 | Header                                                               |
| ---------- | --------------------------------- | ----------------------- | ---------------------- | -------------------------------------------- | -------------------------------------------------------------------- |
| **POST**   | `/api/v1/auth/register`           | Đăng ký user mới        | Public                 | `{ username, email, password }`              | `Content-Type: application/json`                                     |
| **POST**   | `/api/v1/auth/login`              | Đăng nhập lấy token     | Public                 | `{ username, password }`                     | `Content-Type: application/json`                                     |
| **GET**    | `/api/v1/favorite`                | Lấy danh sách yêu thích | Login                  | *(optional)* `?page=&limit=`                 | `Authorization: Bearer <token>`                                      |
| **POST**   | `/api/v1/favorite/:cakeId`        | Thêm cake vào yêu thích | Login                  | —                                            | `Authorization: Bearer <token>`                                      |
| **DELETE** | `/api/v1/favorite/:cakeId`        | Xóa cake khỏi yêu thích | Login                  | —                                            | `Authorization: Bearer <token>`                                      |
| **GET**    | `/api/v1/review`                  | Lấy danh sách review    | Public/Login           | *(optional)* `?cakeId=&page=&limit=`         | Nếu private: `Authorization: Bearer <token>`                         |
| **GET**    | `/api/v1/review/:id`              | Lấy review theo ID      | Public/Login           | —                                            | Nếu private: `Authorization: Bearer <token>`                         |
| **POST**   | `/api/v1/review`                  | Tạo review              | Login                  | `{ cake, rating, comment }`                  | `Authorization: Bearer <token>`, `Content-Type: application/json`    |
| **PATCH**  | `/api/v1/review/:id`              | Sửa review              | Login (chủ review)     | `{ rating?, comment? }`                      | `Authorization: Bearer <token>`                                      |
| **DELETE** | `/api/v1/review/:id`              | Xóa review              | Login (chủ hoặc Admin) | —                                            | `Authorization: Bearer <token>`                                      |
| **GET**    | `/api/v1/category`                | Lấy danh sách category  | Public                 | —                                            | —                                                                    |
| **GET**    | `/api/v1/category/:id`            | Lấy category theo ID    | Public                 | —                                            | —                                                                    |
| **POST**   | `/api/v1/category`                | Tạo category            | Admin                  | `{ name, description }`                      | `Authorization: Bearer <token>`                                      |
| **PATCH**  | `/api/v1/category/:id`            | Sửa category            | Admin                  | `{ name?, description? }`                    | `Authorization: Bearer <token>`                                      |
| **DELETE** | `/api/v1/category/:id`            | Xóa category            | Admin                  | —                                            | `Authorization: Bearer <token>`                                      |
| **GET**    | `/api/v1/recipe`                  | Lấy danh sách recipe    | Public                 | `?search=&page=&limit=`                      | —                                                                    |
| **GET**    | `/api/v1/recipe/:id`              | Lấy recipe theo ID      | Public                 | —                                            | —                                                                    |
| **POST**   | `/api/v1/recipe`                  | Tạo recipe              | Admin                  | `{ name, ingredients, steps, ... }`          | `Authorization: Bearer <token>`                                      |
| **PATCH**  | `/api/v1/recipe/:id`              | Sửa recipe              | Admin                  | `{ name?, ingredients?, steps? }`            | `Authorization: Bearer <token>`                                      |
| **DELETE** | `/api/v1/recipe/:id`              | Xóa recipe              | Admin                  | —                                            | `Authorization: Bearer <token>`                                      |
| **GET**    | `/api/v1/cake`                    | Lấy danh sách cake      | Public                 | `?search=&page=&limit=`                      | —                                                                    |
| **GET**    | `/api/v1/cake/:id`                | Lấy cake theo ID        | Public                 | —                                            | —                                                                    |
| **POST**   | `/api/v1/cake`                    | Tạo cake                | Admin                  | `{ name, description, price, category }`     | `Authorization: Bearer <token>`                                      |
| **PATCH**  | `/api/v1/cake/:id`                | Sửa cake                | Admin                  | `{ name?, description?, price?, category? }` | `Authorization: Bearer <token>`                                      |
| **DELETE** | `/api/v1/cake/:id`                | Xóa cake                | Admin                  | —                                            | `Authorization: Bearer <token>`                                      |
| **POST**   | `/api/v1/cake/:id/upload-main`    | Upload ảnh main cake    | Admin                  | Form-data: `main: <file>`                    | `Authorization: Bearer <token>`, `Content-Type: multipart/form-data` |
| **GET**    | `/api/v1/user`                    | Danh sách user          | Admin                  | `?q=&page=&limit=`                           | `Authorization: Bearer <token>`                                      |
| **GET**    | `/api/v1/user/:id`                | Lấy user theo ID        | Admin                  | —                                            | `Authorization: Bearer <token>`                                      |
| **POST**   | `/api/v1/user`                    | Tạo user                | Admin                  | `{ username, email, password, role? }`       | `Authorization: Bearer <token>`                                      |
| **PATCH**  | `/api/v1/user/:id`                | Sửa user                | Admin                  | `{ username?, email?, role? }`               | `Authorization: Bearer <token>`                                      |
| **DELETE** | `/api/v1/user/:id`                | Xóa user                | Admin                  | —                                            | `Authorization: Bearer <token>`                                      |
| **GET**    | `/api/v1/user/me/profile`         | Xem profile cá nhân     | Login                  | —                                            | `Authorization: Bearer <token>`                                      |
| **PATCH**  | `/api/v1/user/me/profile`         | Sửa profile cá nhân     | Login                  | `{ username?, email?, avatar? }`             | `Authorization: Bearer <token>`                                      |
| **PATCH**  | `/api/v1/user/me/change-password` | Đổi mật khẩu            | Login                  | `{ oldPassword, newPassword }`               | `Authorization: Bearer <token>`                                      |
| **POST**   | `/api/v1/user/me/avatar`          | Upload avatar cá nhân   | Login                  | Form-data: `avatar: <file>`                  | `Authorization: Bearer <token>`, `Content-Type: multipart/form-data` |
| **GET**    | `/api/v1/admin/dashboard`         | Xem thống kê hệ thống   | Admin                  | —                                            | `Authorization: Bearer <token>`                                      |
